Date,Category P or B,COA Account,Vendor,Vendor Type,Description,Amount,Paid Thru,GST Treatment,Place Of Supply,Tax,Tax Type,Tax Inclusive
27-03-2026,Business,Vat Payment To Fta,Federal Tax Authority (FTA),Government / VAT,VAT payment /?? Federal Tax Authority (FTA),7689.37,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
10-03-2026,Personal,Personal - Miscellaneous,Payment Al Quoz Branch (Bank Counter),Bank/Cash,Cash/bank transaction /?? Payment Al Quoz Branch (Bank Counter),0,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
16-02-2026,Personal,Personal - Air Travel,Air Arabia,Airline,Air travel booking /?? Air Arabia,1498.24,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
16-02-2026,Personal,Personal - Air Travel,Air Arabia,Airline,Air travel booking /?? Air Arabia,1462.71,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
16-02-2026,Personal,Personal - Air Travel,Air Arabia,Airline,Air travel booking /?? Air Arabia,1505.86,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
09-02-2026,Personal,Personal - Miscellaneous,Payment Al Quoz Branch (Bank Counter),Bank/Cash,Cash/bank transaction /?? Payment Al Quoz Branch (Bank Counter),0,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
14-01-2026,Personal,Personal - Miscellaneous,Rapid Pro Typing Services,Printing & Stationery,Printing & stationery /?? Rapid Pro Typing Services,261.86,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
14-01-2026,Personal,Personal - Vehicle Fuel,Emarat,Fuel Station,Vehicle fuel /?? Emarat,110.01,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
10-12-2025,Personal,Personal - Miscellaneous,Payment Al Quoz Branch (Bank Counter),Bank/Cash,Cash/bank transaction /?? Payment Al Quoz Branch (Bank Counter),0,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
13-11-2025,Business,Mobile & Telecom - Business,Virgin Mobile UAE,Telecom,Telecom / mobile bill /?? Virgin Mobile UAE,554.4,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
12-11-2025,Personal,Personal - Grocery & Household,Day To Day Supermarket,Supermarket,Supermarket purchase /?? Day To Day Supermarket,170.5,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
11-11-2025,Business,Mobile & Telecom - Business,Digital,Uncategorised - review,"Digital /?? uncategorised, please review",2,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
11-11-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,28.24,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
11-11-2025,Personal,Personal - Medical & Pharmacy,Al Resalah Physiotherapy,Medical,Medical expense /?? Al Resalah Physiotherapy,150,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
10-11-2025,Personal,Personal - Medical & Pharmacy,Al Rafidain Pharmacy,Pharmacy,Pharmacy purchase /?? Al Rafidain Pharmacy,33,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
10-11-2025,Personal,Personal - Miscellaneous,Payment Al Quoz Branch (Bank Counter),Bank/Cash,Cash/bank transaction /?? Payment Al Quoz Branch (Bank Counter),0,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
09-11-2025,Personal,Personal - Food & Dining,Silver Diamond Cafe,Restaurant,Restaurant / dining /?? Silver Diamond Cafe,12,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
09-11-2025,Personal,Personal - Food & Dining,Silver Diamond Cafe,Restaurant,Restaurant / dining /?? Silver Diamond Cafe,17.25,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
07-11-2025,Business,Mobile & Telecom - Business,Virgin Mobile UAE,Telecom,Telecom / mobile bill /?? Virgin Mobile UAE,554.4,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
07-11-2025,Personal,Personal - Grocery & Household,Grand Hypermarket,Supermarket,Supermarket purchase /?? Grand Hypermarket,159.42,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
07-11-2025,Personal,Personal - Grocery & Household,Al Jubail Vegetables & Fruits,Grocery,Grocery purchase /?? Al Jubail Vegetables & Fruits,30,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
07-11-2025,Personal,Personal - Grocery & Household,Mohd Rashid Vegetables & Fruits,Grocery,Grocery purchase /?? Mohd Rashid Vegetables & Fruits,184,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
07-11-2025,Personal,Personal - Grocery & Household,Al Bawadi Supermarket,Supermarket,Supermarket purchase /?? Al Bawadi Supermarket,12.75,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
06-11-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,58.2,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
06-11-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,48,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
06-11-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,52.44,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
04-11-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,6.24,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
03-11-2025,Personal,Personal - Medical & Pharmacy,Al Rafidain Pharmacy,Pharmacy,Pharmacy purchase /?? Al Rafidain Pharmacy,42,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
31-10-2025,Business,Mobile & Telecom - Business,Virgin Mobile UAE,Telecom,Telecom / mobile bill /?? Virgin Mobile UAE,598.5,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
31-10-2025,Personal,Personal - Medical & Pharmacy,Al Rafidain Pharmacy,Pharmacy,Pharmacy purchase /?? Al Rafidain Pharmacy,42,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
30-10-2025,Business,Mobile & Telecom - Business,Digital,Uncategorised - review,"Digital /?? uncategorised, please review",2,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
30-10-2025,Personal,Personal - Grocery & Household,Al Bawadi Supermarket,Supermarket,Supermarket purchase /?? Al Bawadi Supermarket,19.5,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
30-10-2025,Personal,Personal - Grocery & Household,Anwar Al Hidayah Foodstuff,Supermarket,Supermarket purchase /?? Anwar Al Hidayah Foodstuff,244.61,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
30-10-2025,Personal,Personal - Shopping & Lifestyle,Temu,Retail - Online,Online retail purchase /?? Temu,117.39,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
30-10-2025,Personal,Personal - Shopping & Lifestyle,Temu,Retail - Online,Online retail purchase /?? Temu,23.51,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
30-10-2025,Personal,Personal - Shopping & Lifestyle,Temu,Retail - Online,Online retail purchase /?? Temu,38.27,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
30-10-2025,Personal,Personal - Shopping & Lifestyle,Temu,Retail - Online,Online retail purchase /?? Temu,15.37,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
28-10-2025,Personal,Personal - Medical & Pharmacy,Al Rafidain Pharmacy,Pharmacy,Pharmacy purchase /?? Al Rafidain Pharmacy,13,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
27-10-2025,Business,Mobile & Telecom - Business,Etisalat (e&),Telecom,Telecom / mobile bill /?? Etisalat (e&),30,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
26-10-2025,Personal,Personal - Food & Dining,Noon,Online Marketplace,Online shopping /?? Noon,51.12,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
26-10-2025,Personal,Personal - Medical & Pharmacy,Golden Life Pharmacy,Pharmacy,Pharmacy purchase /?? Golden Life Pharmacy,22.87,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
25-10-2025,Personal,Personal - Food & Dining,Al Basateen Al Syriah,Restaurant,Restaurant / dining /?? Al Basateen Al Syriah,19.25,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
25-10-2025,Personal,Personal - Food & Dining,Silver Diamond Cafe,Restaurant,Restaurant / dining /?? Silver Diamond Cafe,29.25,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
25-10-2025,Personal,Personal - Grocery & Household,Al Bawadi Supermarket,Supermarket,Supermarket purchase /?? Al Bawadi Supermarket,19.5,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
25-10-2025,Personal,Personal - Grocery & Household,Grand Hypermarket,Supermarket,Supermarket purchase /?? Grand Hypermarket,41.98,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
25-10-2025,Personal,Personal - Grocery & Household,Mohd Rashid Vegetables & Fruits,Grocery,Grocery purchase /?? Mohd Rashid Vegetables & Fruits,115,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
25-10-2025,Personal,Personal - Grocery & Household,Grand Hypermarket,Supermarket,Supermarket purchase /?? Grand Hypermarket,61.93,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
24-10-2025,Business,Electricity - Business Premises,Dubai Smart Government,Government,Government payment /?? Dubai Smart Government,442.95,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
24-10-2025,Business,Electricity - Business Premises,Dubai Smart Government,Government,Government payment /?? Dubai Smart Government,50,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
24-10-2025,Business,Electricity - Business Premises,Dubai Smart Government,Government,Government payment /?? Dubai Smart Government,50,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
23-10-2025,Personal,Personal - Grocery & Household,Every Day Fresh Hypermarket,Supermarket,Supermarket purchase /?? Every Day Fresh Hypermarket,20.79,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
21-10-2025,Personal,Personal - Shopping & Lifestyle,Lulu Hypermarket,Supermarket,Supermarket purchase /?? Lulu Hypermarket,85,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
20-10-2025,Personal,Personal - Drinking Water,Al Huda Drinking Water,Utility,Utility bill /?? Al Huda Drinking Water,400,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
19-10-2025,Business,Mobile & Telecom - Business,Digital,Uncategorised - review,"Digital /?? uncategorised, please review",2,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
19-10-2025,Personal,Personal - Food & Dining,Fortune Foods,Supermarket,Supermarket purchase /?? Fortune Foods,38,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
19-10-2025,Personal,Personal - Grocery & Household,Perumal Stores,Supermarket,Supermarket purchase /?? Perumal Stores,45,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
19-10-2025,Personal,Personal - Grocery & Household,Anwar Al Hidayah Foodstuff,Supermarket,Supermarket purchase /?? Anwar Al Hidayah Foodstuff,27.8,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
19-10-2025,Personal,Personal - Grocery & Household,Anwar Al Hidayah Foodstuff,Supermarket,Supermarket purchase /?? Anwar Al Hidayah Foodstuff,39.25,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
19-10-2025,Personal,Personal - Shopping & Lifestyle,Zahrit Al Yasmeen (Florist),Retail - Florist,Florist purchase /?? Zahrit Al Yasmeen (Florist),30,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
18-10-2025,Personal,Personal - Grocery & Household,Day To Day Supermarket,Supermarket,Supermarket purchase /?? Day To Day Supermarket,11.95,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
18-10-2025,Personal,Personal - Grocery & Household,Day To Day Supermarket,Supermarket,Supermarket purchase /?? Day To Day Supermarket,3,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
18-10-2025,Personal,Personal - Grocery & Household,Day To Day Supermarket,Supermarket,Supermarket purchase /?? Day To Day Supermarket,35.75,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
18-10-2025,Personal,Personal - Grocery & Household,Day To Day Supermarket,Supermarket,Supermarket purchase /?? Day To Day Supermarket,98.15,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
12-10-2025,Personal,Personal - Vehicle Fuel,ADNOC,Fuel Station,Vehicle fuel /?? ADNOC,90.04,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
11-10-2025,Personal,Personal - Subscriptions & Software,Amazon,Online Marketplace,Online shopping /?? Amazon,16,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
10-10-2025,Personal,Personal - Miscellaneous,Payment Al Karama Centre (Bank Counter),Bank/Cash,Cash/bank transaction /?? Payment Al Karama Centre (Bank Counter),0,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
10-10-2025,Personal,Personal - Shopping & Lifestyle,Alhameidi Department Store,Retail,Retail purchase /?? Alhameidi Department Store,51,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
